Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Sub-Saharan Africa,Kenya,Baby Food,Online,C,11/27/2011,615193970,12/23/2011,7038,146.7,95.44,1032491.5,671728.74,360762.76
Australia and Oceania,Fiji,Clothes,Online,C,01/21/2011,107838941,03/01/2011,4923,110.3,38.12,543000.28,187665.98,355334.3
Australia and Oceania,New Zealand,Beverages,Offline,L,04/04/2016,452040135,05/03/2016,1336,47.78,30.75,63829.96,41081.84,22748.13
Asia,Thailand,Office Supplies,Offline,H,01/01/2011,525622757,01/28/2011,9159,617.43,466.83,5655009.83,4275676.36,1379333.48
Asia,China,Household,Offline,M,07/28/2012,434268580,09/02/2012,6121,635.03,477.81,3887015.85,2924682.4,962333.45
Central America and the Caribbean,Costa Rica,Clothes,Online,H,01/09/2015,481624435,02/13/2015,7438,106.78,36.38,794194.86,270588.26,523606.6
North America,Mexico,Baby Food,Online,C,07/10/2015,581072977,08/02/2015,9266,146.49,86.87,1357341.94,804936.88,552405.06
North America,United States,Meat,Offline,M,03/14/2013,938323790,03/22/2013,4483,444.11,375.44,1990949.51,1683115.1,307834.4
Europe,France,Vegetables,Offline,L,10/21/2013,611686077,11/24/2013,4175,138.5,87.19,578244.73,364033.49,214211.24
Europe,Greece,Cosmetics,Offline,L,05/04/2016,694301477,05/29/2016,2062,481.19,237.5,992208.94,489722.21,502486.73
Sub-Saharan Africa,Mali,Personal Care,Online,M,01/21/2014,839560020,02/10/2014,1046,75.91,58.52,79406.31,61214.83,18191.47
Europe,Montenegro,Meat,Offline,C,03/17/2012,876633475,03/19/2012,597,447.38,367.25,267088.16,219245.5,47842.65
Sub-Saharan Africa,Kenya,Personal Care,Offline,L,08/11/2015,642948146,08/27/2015,9929,80.37,51.92,798032.48,515473.81,282558.67
Sub-Saharan Africa,Eritrea,Vegetables,Online,C,10/16/2015,410217377,11/07/2015,9655,152.35,94.19,1470936.38,909418.6,561517.78
Sub-Saharan Africa,Senegal,Beverages,Offline,H,04/07/2011,611705303,04/08/2011,7300,46.26,29.09,337730.26,212378.84,125351.42
Asia,India,Baby Food,Online,M,02/02/2014,820871099,03/10/2014,2366,143.73,81.97,340058.82,193938.53,146120.29
Europe,Montenegro,Office Supplies,Online,M,08/30/2013,901071274,10/06/2013,295,684.34,537.75,201879.17,158634.84,43244.33
Europe,Spain,Cosmetics,Offline,M,01/31/2013,261910467,03/06/2013,2119,428.74,274.34,908498.72,581336.63,327162.1
Australia and Oceania,Australia,Snacks,Offline,C,05/08/2012,986360980,06/06/2012,2522,147.96,85.63,373153.19,215965.58,157187.61
Middle East and North Africa,Egypt,Clothes,Online,H,05/06/2014,432961751,05/26/2014,241,93.43,35.26,22515.55,8498.41,14017.15
North America,Mexico,Cosmetics,Offline,L,08/08/2013,586502973,09/12/2013,6430,424.06,273.87,2726692.86,1761015.05,965677.81
Australia and Oceania,Fiji,Clothes,Offline,M,09/01/2012,973608734,09/02/2012,7326,91.51,33.58,670370.56,246033.1,424337.46
Sub-Saharan Africa,Nigeria,Beverages,Offline,H,02/07/2014,679419703,03/01/2014,1911,41.89,27.42,80058.03,52405.76,27652.27
Asia,China,Baby Food,Online,L,02/09/2015,434391204,02/15/2015,6465,170.83,85.45,1104411.47,552403.87,552007.6
Central America and the Caribbean,Costa Rica,Fruits,Offline,L,12/13/2013,150596687,01/08/2014,586,71.79,40.63,42070.79,23808.85,18261.94
Asia,South Korea,Household,Offline,C,02/14/2016,645692461,03/19/2016,9197,648.91,484.28,5968067.66,4453898.43,1514169.23
North America,Mexico,Cereal,Online,M,05/05/2011,114367204,05/22/2011,1862,191.46,108.05,356503.44,201182.56,155320.87
Sub-Saharan Africa,Nigeria,Household,Online,M,07/30/2011,802298156,08/17/2011,5399,739.51,452.15,3992603.87,2441158.78,1551445.09
North America,Mexico,Snacks,Offline,H,07/01/2012,949457336,07/28/2012,3141,140.29,100.01,440666.48,314121.36,126545.12
Sub-Saharan Africa,Kenya,Cosmetics,Offline,C,09/19/2014,497675673,10/18/2014,2461,393.33,271.9,967990.56,669153.79,298836.77
North America,Mexico,Clothes,Online,C,10/14/2011,847637802,11/01/2011,617,98.37,33.7,60694.12,20790.38,39903.74
Australia and Oceania,New Zealand,Snacks,Offline,M,08/14/2011,376526819,09/13/2011,6270,144.07,93.59,903312.21,586834.08,316478.12
Asia,China,Clothes,Online,C,02/25/2011,942156584,03/13/2011,6176,99.06,37.27,611810.31,230167.07,381643.24
Sub-Saharan Africa,Nigeria,Meat,Online,M,05/10/2011,174274929,06/15/2011,7367,421.38,328.95,3104279.03,2423405.48,680873.56
Middle East and North Africa,Egypt,Baby Food,Offline,M,06/20/2012,574138799,07/27/2012,4523,138.27,84.64,625373.36,382820.79,242552.57
Australia and Oceania,Papua New Guinea,Baby Food,Offline,C,08/17/2011,732526175,08/19/2011,889,144.21,95.62,128201.04,85007.84,43193.2
Middle East and North Africa,Libya,Baby Food,Offline,M,01/03/2012,983880103,02/02/2012,3002,162.81,90.84,488751.8,272702.25,216049.55
North America,Canada,Office Supplies,Online,L,07/01/2013,813949679,07/19/2013,2149,650.9,470.13,1398790.15,1010301.59,388488.56
Australia and Oceania,Fiji,Vegetables,Online,H,11/28/2014,375066060,12/07/2014,7247,143.47,84.9,1039741.32,615258.89,424482.43
North America,Mexico,Snacks,Online,M,12/29/2012,495706521,01/24/2013,7854,171.06,93.95,1343490.73,737900.55,605590.18
Central America and the Caribbean,Haiti,Cereal,Offline,M,02/25/2013,311449835,03/14/2013,8097,181.39,105.87,1468703.68,857214.99,611488.69
Asia,India,Baby Food,Offline,M,10/10/2014,288699955,10/18/2014,7012,170.29,92.22,1194053.93,646631.12,547422.81
Australia and Oceania,Papua New Guinea,Office Supplies,Offline,M,01/28/2016,320174896,01/29/2016,7434,567.69,488.75,4220196.87,3633342.57,586854.3
Central America and the Caribbean,Haiti,Fruits,Online,C,05/28/2011,794512710,06/13/2011,9550,72.55,42.34,692849.44,404314.33,288535.1
North America,Canada,Snacks,Offline,L,12/24/2012,234676547,12/27/2012,2507,157.99,100.81,396088.94,252721.75,143367.19
Sub-Saharan Africa,Cape Verde,Snacks,Online,L,02/19/2013,109332439,03/05/2013,2942,151.75,87.85,446455.1,258441.6,188013.5
Middle East and North Africa,Saudi Arabia,Office Supplies,Online,M,01/20/2015,459320780,02/12/2015,6448,643.35,465.31,4148336.09,3000347.57,1147988.52
Asia,Thailand,Clothes,Offline,C,01/06/2016,553338623,01/08/2016,8270,104.34,33.89,862884.21,280282.6,582601.6
Central America and the Caribbean,Cuba,Cosmetics,Offline,C,10/11/2014,564522257,11/02/2014,524,466.42,255.71,244404.72,133990.29,110414.43
Central America and the Caribbean,Haiti,Office Supplies,Offline,C,05/03/2015,486565893,05/22/2015,2132,692.8,458.81,1477040.43,978190.26,498850.17
North America,Mexico,Household,Offline,H,07/11/2011,810816121,07/14/2011,535,713.22,443.43,381570.67,237237.31,144333.36
Asia,Vietnam,Cosmetics,Offline,M,02/09/2012,409527700,02/17/2012,9081,436.77,267.9,3966337.33,2432770.35,1533566.99
Central America and the Caribbean,Haiti,Beverages,Online,H,11/03/2013,873803659,11/13/2013,364,41.54,30.19,15121.67,10990.37,4131.29
Europe,Greece,Baby Food,Offline,H,08/15/2013,239461490,09/15/2013,3841,156.17,91.81,599832.15,352644.12,247188.03
Central America and the Caribbean,Cuba,Snacks,Offline,M,02/18/2014,455134289,02/22/2014,2245,139.65,87.81,313523.29,197126.45,116396.84
Europe,Greece,Cosmetics,Online,L,11/03/2011,629911230,11/14/2011,6796,429.43,251.43,2918389.4,1708737.51,1209651.89
Asia,South Korea,Household,Online,M,04/13/2012,132121967,05/03/2012,5128,710.84,469.01,3645203.76,2405099.39,1240104.37
Central America and the Caribbean,Cuba,Cosmetics,Online,L,05/03/2013,687745515,05/24/2013,9522,385.32,269.67,3669022.18,2567799.99,1101222.19
North America,Mexico,Personal Care,Offline,M,12/16/2014,257680885,01/23/2015,7869,81.5,53.2,641287.15,418627.32,222659.83
North America,United States,Snacks,Online,L,12/10/2013,420443954,01/17/2014,8085,154.43,97.17,1248529.29,785615.72,462913.57
Australia and Oceania,New Zealand,Office Supplies,Offline,H,11/07/2013,555955256,12/05/2013,756,687.81,473.98,519983.03,358330.39,161652.64
Asia,China,Personal Care,Online,M,06/27/2012,612004938,07/23/2012,2839,72.73,50.08,206478.26,142177.64,64300.62
Australia and Oceania,New Zealand,Beverages,Online,L,05/21/2014,153293585,05/23/2014,7073,44.92,30.7,317748.81,217143.05,100605.75
Asia,China,Cosmetics,Online,M,11/25/2015,603454279,12/19/2015,1566,416.51,229.97,652260.65,360140.43,292120.22
Middle East and North Africa,Libya,Meat,Online,M,05/26/2014,171414944,07/01/2014,943,407.88,351.2,384633.71,331185.99,53447.71
Europe,Estonia,Cereal,Offline,M,07/22/2014,165320186,08/14/2014,3382,169.64,101.1,573719.65,341934.05,231785.6
Europe,France,Personal Care,Online,M,02/26/2011,806948505,03/03/2011,5534,73.28,52.99,405518.21,293253.73,112264.48
Asia,China,Office Supplies,Offline,M,06/27/2014,771017857,07/09/2014,1132,707.37,487.7,800744.2,552074.83,248669.37
Australia and Oceania,Papua New Guinea,Cereal,Offline,L,04/10/2016,533585113,05/06/2016,3160,177.56,99.77,561101.13,315288.16,245812.97
Australia and Oceania,Papua New Guinea,Personal Care,Online,H,09/23/2013,738588420,10/06/2013,2893,77.43,52.98,224007.91,153266.41,70741.5
North America,United States,Office Supplies,Offline,H,11/29/2013,857625247,12/27/2013,8447,654.95,465.49,5532355.04,3931958.19,1600396.85
Australia and Oceania,Fiji,Vegetables,Offline,C,01/26/2011,427148764,03/04/2011,5973,142.4,83.66,850552.18,499720.59,350831.59
Asia,Vietnam,Beverages,Offline,C,09/16/2013,480572263,09/20/2013,6480,49.6,28.91,321384.79,187320.13,134064.66
Middle East and North Africa,Saudi Arabia,Snacks,Offline,C,10/04/2013,472401883,11/06/2013,7689,155.19,102.85,1193245.27,790824.14,402421.13
Australia and Oceania,Papua New Guinea,Office Supplies,Offline,L,04/26/2012,106113100,05/30/2012,2666,633.66,531.31,1689332.81,1416462.54,272870.27
Asia,China,Cosmetics,Online,L,06/28/2012,962465591,07/05/2012,1224,474.98,274.88,581381.4,336448.11,244933.3
Asia,Japan,Cosmetics,Offline,L,08/09/2011,240726578,08/28/2011,2570,409.97,274.15,1053626.74,704558.67,349068.07
Europe,Germany,Personal Care,Offline,C,06/22/2015,653504868,07/28/2015,573,89.01,57.65,51002.78,33033.2,17969.58
Australia and Oceania,New Zealand,Personal Care,Offline,M,04/15/2011,717423619,04/29/2011,7423,80.89,57.67,600457.38,428055.23,172402.15
Europe,Germany,Vegetables,Offline,M,01/15/2013,821640614,01/16/2013,2912,138.42,88.2,403072.94,256837.51,146235.43
Asia,India,Snacks,Online,H,01/18/2014,296109206,02/25/2014,1174,137.91,90.86,161901.19,106674.29,55226.9
Middle East and North Africa,Egypt,Baby Food,Online,C,09/04/2011,134139374,10/05/2011,9119,163.14,86.59,1487649.99,789640.44,698009.55
Asia,China,Beverages,Online,L,01/15/2012,452488527,02/10/2012,5581,50.22,29.74,280300.82,165986.35,114314.46
Australia and Oceania,Papua New Guinea,Vegetables,Offline,M,10/24/2014,588084593,11/15/2014,8946,142.82,82.24,1277664.12,735697.3,541966.82
North America,Canada,Office Supplies,Online,H,12/03/2013,428413014,01/03/2014,3318,644.44,455.46,2138257.72,1511219.7,627038.02
Middle East and North Africa,Turkey,Household,Offline,L,10/06/2013,563245644,11/12/2013,403,634.55,450.5,255722.34,181550.26,74172.08
Australia and Oceania,Papua New Guinea,Vegetables,Online,C,01/19/2011,140988408,01/26/2011,6572,128.64,87.77,845392.84,576793.84,268598.99
Europe,France,Beverages,Online,C,02/11/2011,325407206,02/24/2011,453,45.57,28.53,20641.02,12923.41,7717.61
Asia,South Korea,Clothes,Offline,C,05/01/2014,236687334,05/29/2014,3150,94.61,31.78,298013.74,100092.93,197920.81
Sub-Saharan Africa,Chad,Household,Online,L,05/17/2015,806128691,06/17/2015,3517,737.07,475.88,2592281.33,1673661.97,918619.37
Asia,South Korea,Cereal,Offline,L,02/13/2016,393913021,03/17/2016,6365,197.64,120.71,1257976.6,768300.87,489675.74
Middle East and North Africa,Egypt,Cosmetics,Offline,L,12/30/2013,594220820,01/26/2014,8284,475.33,273.1,3937594.74,2262384.63,1675210.11
North America,United States,Cosmetics,Offline,C,03/21/2015,442865425,04/11/2015,5725,464.48,260.45,2659163.96,1491076.68,1168087.28
Central America and the Caribbean,Haiti,Snacks,Offline,H,01/14/2013,914166654,01/17/2013,4333,154.14,90.42,667898.39,391777.1,276121.29
Middle East and North Africa,Saudi Arabia,Cereal,Offline,C,05/28/2016,713790917,06/20/2016,5491,173.64,106.64,953468.18,585550.51,367917.67
Sub-Saharan Africa,Chad,Cereal,Offline,H,05/18/2012,401427829,05/25/2012,8895,189.46,119.73,1685236.21,1065017.67,620218.54
Sub-Saharan Africa,Chad,Meat,Offline,M,07/28/2012,603272913,09/02/2012,5493,478.36,331.57,2627650.87,1821314.4,806336.47
North America,Canada,Vegetables,Online,L,09/29/2015,508074435,10/29/2015,2776,128.07,85.89,355513.31,238430.52,117082.8
Australia and Oceania,Fiji,Cereal,Online,L,12/23/2012,672634321,01/04/2013,8721,200.33,116.98,1747104.67,1020166.91,726937.76
North America,Canada,Baby Food,Offline,C,09/09/2011,236493326,09/18/2011,920,147.59,90.25,135786.6,83029.63,52756.97
Asia,India,Fruits,Online,L,12/25/2012,146597166,12/26/2012,6523,63.16,46.33,411986.31,302241.1,109745.2
Middle East and North Africa,Egypt,Meat,Online,M,11/09/2012,606718635,12/08/2012,9800,439.23,365.26,4304415.82,3579557.73,724858.1
North America,United States,Fruits,Online,H,05/25/2012,602769658,06/03/2012,6857,67.27,49.2,461269.83,337368.57,123901.26
Asia,China,Household,Online,C,06/07/2011,475593126,06/11/2011,3540,637.49,517.35,2256699.82,1831401.9,425297.91
Europe,Estonia,Cosmetics,Offline,H,03/26/2013,321866661,04/15/2013,3383,383.18,244.31,1296284.14,826515.57,469768.58
Sub-Saharan Africa,Kenya,Personal Care,Offline,C,09/09/2012,925741489,09/14/2012,9574,87.28,55.15,835591.24,528053.02,307538.22
Europe,Greece,Fruits,Online,L,05/04/2014,878600765,05/11/2014,1503,77.87,43.93,117044.72,66023.8,51020.91
North America,Mexico,Cereal,Online,M,02/18/2015,493513515,03/24/2015,1102,198.67,108.18,218929.62,119217.24,99712.38
Asia,India,Cosmetics,Online,M,05/06/2015,396043004,05/09/2015,2380,428.77,236.0,1020479.11,561690.72,458788.39
Central America and the Caribbean,Costa Rica,Cereal,Online,M,06/08/2014,190805299,07/02/2014,7891,180.5,114.49,1424337.3,903430.27,520907.03
Asia,Vietnam,Clothes,Offline,C,02/18/2015,622207383,02/22/2015,955,100.46,34.61,95938.01,33053.28,62884.72
Central America and the Caribbean,Costa Rica,Cosmetics,Offline,H,12/15/2013,219090471,01/09/2014,3396,456.39,225.63,1549911.77,766238.87,783672.9
Australia and Oceania,Fiji,Vegetables,Online,L,12/21/2011,965716200,01/07/2012,2818,126.34,88.37,356037.29,249013.38,107023.91
Middle East and North Africa,Saudi Arabia,Meat,Offline,M,06/17/2012,288621026,06/20/2012,2444,454.34,363.5,1110399.49,888404.79,221994.7
North America,Canada,Personal Care,Offline,L,05/07/2012,235202316,05/19/2012,9336,81.16,53.86,757702.89,502880.68,254822.21
Australia and Oceania,Papua New Guinea,Clothes,Offline,C,05/31/2012,440648458,06/26/2012,2887,94.35,35.33,272399.76,101992.42,170407.34
Middle East and North Africa,Egypt,Clothes,Online,H,05/30/2015,299479276,06/06/2015,5186,113.24,32.37,587269.07,167882.72,419386.36
Middle East and North Africa,Libya,Cereal,Online,C,04/28/2016,672451526,05/10/2016,1575,203.75,118.09,320903.98,185990.88,134913.1
Central America and the Caribbean,Haiti,Meat,Online,M,04/04/2014,743141631,04/06/2014,1876,389.97,360.07,731577.0,675497.99,56079.01
Central America and the Caribbean,Costa Rica,Household,Offline,C,08/05/2014,343840625,08/27/2014,7407,625.92,511.08,4636179.07,3785566.99,850612.07
Australia and Oceania,Fiji,Household,Online,H,04/23/2012,164910926,05/03/2012,4778,655.2,527.91,3130553.8,2522348.02,608205.78
North America,Canada,Cosmetics,Online,H,06/22/2015,203922177,07/20/2015,1933,427.06,230.34,825511.63,445238.7,380272.93
North America,Canada,Beverages,Offline,C,12/21/2015,382365789,01/17/2016,3386,47.49,28.32,160808.2,95888.72,64919.49
North America,United States,Household,Offline,M,03/28/2012,405554395,04/20/2012,6882,742.54,475.58,5110175.91,3272920.29,1837255.62
North America,Mexico,Personal Care,Online,L,07/01/2011,158203138,08/09/2011,6208,84.06,56.7,521831.18,351971.41,169859.77
Australia and Oceania,Australia,Meat,Offline,L,01/21/2011,519972197,03/01/2011,3118,380.27,321.42,1185690.54,1002201.38,183489.16
North America,United States,Meat,Offline,H,09/02/2012,745048990,10/07/2012,3484,481.16,378.83,1676363.78,1319834.31,356529.46
Australia and Oceania,Papua New Guinea,Clothes,Offline,H,04/05/2016,375902589,04/23/2016,3008,110.63,37.51,332762.66,112825.01,219937.65
Europe,Germany,Cosmetics,Offline,H,01/10/2011,735484835,01/22/2011,502,475.81,241.91,238854.26,121439.6,117414.66
Sub-Saharan Africa,Eritrea,Snacks,Offline,M,08/06/2011,796781804,08/27/2011,7398,146.51,86.58,1083880.35,640554.29,443326.06
Central America and the Caribbean,Cuba,Meat,Online,L,08/07/2015,699974146,09/13/2015,9140,453.15,383.1,4141811.77,3501493.41,640318.36
North America,Mexico,Household,Online,M,06/04/2011,104467801,07/12/2011,8187,607.3,522.02,4971960.28,4273740.9,698219.38
Sub-Saharan Africa,Mali,Beverages,Online,M,06/16/2012,792007282,06/24/2012,1983,40.78,31.32,80868.86,62116.19,18752.68
Europe,Italy,Cereal,Offline,L,12/06/2015,889364317,12/21/2015,5786,195.89,115.0,1133421.55,665412.87,468008.68
Middle East and North Africa,Saudi Arabia,Cosmetics,Offline,M,04/18/2013,729601704,05/11/2013,3816,391.11,251.27,1492480.94,958854.93,533626.01
Australia and Oceania,New Zealand,Household,Offline,L,01/01/2014,203993559,01/28/2014,3674,656.62,457.0,2412422.23,1679013.22,733409.01
Middle East and North Africa,Saudi Arabia,Office Supplies,Offline,L,11/13/2014,913540393,11/20/2014,283,665.55,480.58,188350.31,136004.52,52345.79
Sub-Saharan Africa,Mali,Meat,Offline,H,04/21/2013,553764789,05/16/2013,67,441.24,337.56,29562.87,22616.7,6946.17
Central America and the Caribbean,Cuba,Snacks,Online,M,06/11/2015,341436875,06/13/2015,805,153.65,103.56,123685.11,83362.45,40322.66
Middle East and North Africa,Libya,Baby Food,Offline,H,04/04/2016,815127278,05/04/2016,7939,161.71,84.17,1283801.86,668194.07,615607.78
Australia and Oceania,Papua New Guinea,Fruits,Offline,M,04/24/2013,162908951,04/25/2013,5578,76.28,45.01,425501.52,251041.1,174460.42
Asia,Japan,Clothes,Online,H,06/30/2013,887823352,07/15/2013,4066,104.84,36.78,426288.04,149562.9,276725.14
Asia,South Korea,Meat,Offline,H,02/01/2012,109978954,02/11/2012,5074,481.31,378.43,2442180.89,1920151.93,522028.96
Europe,Spain,Beverages,Offline,H,09/16/2011,167368966,09/28/2011,2097,50.58,27.62,106061.91,57920.92,48140.99
North America,United States,Personal Care,Offline,H,05/05/2016,296145427,05/09/2016,8868,75.8,55.23,672234.83,489777.37,182457.46
Middle East and North Africa,Morocco,Cosmetics,Online,L,03/14/2012,163497807,04/08/2012,1850,431.89,230.36,799000.85,426168.07,372832.78
Asia,Thailand,Office Supplies,Offline,L,10/27/2014,519231924,12/03/2014,5796,571.45,473.68,3312132.07,2745477.95,566654.12
Europe,Greece,Personal Care,Online,M,03/07/2011,884566655,03/28/2011,7980,84.57,52.43,674905.95,418368.38,256537.57
Australia and Oceania,Australia,Household,Offline,C,04/26/2014,703837682,05/27/2014,5193,654.03,464.81,3396363.73,2413747.37,982616.37
Europe,Germany,Meat,Offline,H,05/31/2016,666106041,07/09/2016,2543,471.14,334.25,1198107.72,850002.16,348105.56
Sub-Saharan Africa,Eritrea,Meat,Offline,M,08/07/2015,661074315,08/11/2015,541,423.16,345.64,228932.26,186993.16,41939.1
Asia,Vietnam,Baby Food,Online,M,02/01/2011,918179242,02/11/2011,8554,162.65,85.55,1391339.57,731803.88,659535.69
Middle East and North Africa,Egypt,Personal Care,Online,L,11/18/2013,527447192,12/02/2013,6534,86.39,49.81,564457.64,325454.21,239003.44
Central America and the Caribbean,Costa Rica,Cereal,Online,L,05/22/2016,896393546,06/30/2016,9486,206.09,118.11,1954980.74,1120374.03,834606.71
Europe,Italy,Snacks,Online,M,09/12/2011,399260473,10/02/2011,4208,172.48,89.52,725777.48,376688.35,349089.13
Middle East and North Africa,Libya,Fruits,Online,L,06/03/2012,293747179,07/07/2012,9119,69.03,41.06,629442.54,374388.4,255054.14
Sub-Saharan Africa,Nigeria,Clothes,Online,M,07/23/2011,383277954,08/21/2011,4570,99.46,32.12,454522.56,146782.82,307739.74
Europe,Greece,Clothes,Online,C,04/10/2015,770448358,04/23/2015,5420,93.44,31.88,506462.97,172791.97,333671.0
Europe,France,Cosmetics,Offline,C,07/29/2012,446898411,08/29/2012,5074,410.12,249.16,2080943.58,1264221.26,816722.32
Europe,Germany,Snacks,Online,C,11/13/2012,112229793,12/08/2012,1791,148.56,95.66,266066.94,171329.19,94737.75
Central America and the Caribbean,Haiti,Snacks,Offline,M,12/02/2014,299246634,12/08/2014,6842,168.41,100.96,1152283.89,690758.52,461525.37
Middle East and North Africa,Egypt,Meat,Offline,M,09/12/2013,719815508,09/30/2013,2148,387.82,316.17,833045.39,679126.73,153918.65
Australia and Oceania,Fiji,Meat,Online,M,05/05/2012,125961735,06/04/2012,9826,395.06,382.18,3881895.54,3755322.3,126573.24
Middle East and North Africa,Libya,Clothes,Offline,H,12/19/2012,915147218,12/27/2012,6871,113.64,35.92,780802.38,246839.58,533962.8
Asia,Thailand,Clothes,Online,M,11/12/2012,841683366,12/11/2012,7868,107.95,34.6,849364.01,272223.8,577140.21
Asia,Japan,Beverages,Offline,M,03/02/2016,536884551,03/14/2016,6876,41.28,30.47,283839.3,209506.98,74332.33
Central America and the Caribbean,Cuba,Fruits,Offline,H,03/01/2013,963907857,04/03/2013,9970,63.98,48.71,637833.14,485594.34,152238.8
Central America and the Caribbean,Haiti,Baby Food,Online,C,06/07/2016,276091009,07/15/2016,1393,167.59,97.28,233447.25,135511.25,97936.0
Europe,Greece,Meat,Offline,C,09/14/2013,450811920,09/24/2013,1783,400.86,332.52,714735.37,592889.97,121845.4
Australia and Oceania,Australia,Cosmetics,Online,M,05/12/2016,664978786,05/24/2016,3982,435.01,231.47,1732204.83,921709.68,810495.15
North America,United States,Personal Care,Offline,L,08/21/2011,220194548,08/31/2011,3767,76.41,51.31,287834.25,193285.62,94548.62
Europe,Montenegro,Cereal,Offline,M,11/23/2013,174183397,12/28/2013,2179,165.79,120.66,361255.51,262919.6,98335.91
Australia and Oceania,New Zealand,Baby Food,Offline,H,05/18/2014,342417992,06/26/2014,5580,159.3,85.42,888900.34,476633.45,412266.9
Australia and Oceania,Papua New Guinea,Household,Offline,H,06/16/2015,711900113,07/15/2015,5644,597.78,463.77,3373852.49,2617505.56,756346.93
Central America and the Caribbean,Costa Rica,Office Supplies,Offline,M,12/22/2011,893388534,01/02/2012,29,595.04,478.13,17256.29,13865.73,3390.57
Middle East and North Africa,Egypt,Personal Care,Offline,C,02/09/2016,493291839,03/12/2016,755,78.77,49.58,59471.45,37431.4,22040.06
Australia and Oceania,New Zealand,Clothes,Online,M,04/14/2015,744731385,04/17/2015,9550,108.55,31.72,1036657.86,302931.65,733726.21
Central America and the Caribbean,Haiti,Cosmetics,Online,M,11/17/2014,184745814,12/25/2014,1429,466.64,231.97,666827.87,331478.15,335349.72
North America,Canada,Baby Food,Offline,H,11/10/2012,424419659,11/13/2012,4327,164.67,84.62,712545.05,366135.18,346409.87
Australia and Oceania,New Zealand,Household,Offline,L,09/24/2011,314147682,09/29/2011,5058,672.36,487.28,3400781.38,2464642.4,936138.98
Australia and Oceania,Australia,Household,Offline,C,06/02/2016,111296266,07/03/2016,1401,587.28,486.42,822775.58,681472.19,141303.39
Asia,China,Beverages,Offline,L,12/17/2013,973237171,12/22/2013,941,50.66,31.28,47671.9,29436.59,18235.32
Central America and the Caribbean,Cuba,Vegetables,Online,L,11/10/2014,415434664,12/12/2014,8185,154.67,90.66,1266000.12,742031.32,523968.8
Central America and the Caribbean,Jamaica,Clothes,Online,C,07/09/2013,178879051,08/13/2013,2018,105.67,33.27,213243.72,67143.69,146100.03
North America,United States,Clothes,Online,L,04/12/2012,987058500,05/13/2012,3544,108.38,37.57,384083.32,133130.92,250952.4
Europe,Germany,Fruits,Online,M,06/02/2013,301415372,06/14/2013,8045,63.01,49.17,506923.35,395555.33,111368.02
Australia and Oceania,Papua New Guinea,Fruits,Offline,C,03/02/2015,534503039,03/25/2015,7136,76.81,42.6,548087.58,304016.54,244071.04
North America,Canada,Cosmetics,Online,L,09/15/2014,324408529,10/09/2014,5425,418.44,245.89,2270016.08,1333976.03,936040.04
Central America and the Caribbean,Costa Rica,Beverages,Online,H,10/20/2013,960487633,11/15/2013,5661,49.04,27.63,277599.97,156440.48,121159.48
Sub-Saharan Africa,Chad,Personal Care,Offline,L,07/26/2014,566979001,08/12/2014,4701,79.88,58.83,375533.79,276560.93,98972.86
North America,Canada,Cereal,Offline,M,11/09/2015,451936230,12/12/2015,5650,188.46,119.56,1064774.17,675513.35,389260.81
Australia and Oceania,Fiji,Clothes,Offline,M,09/21/2013,219237153,10/28/2013,596,103.94,38.35,61945.87,22855.6,39090.27
Central America and the Caribbean,Haiti,Meat,Online,M,03/20/2012,345190014,04/19/2012,1031,411.93,353.09,424700.09,364033.32,60666.77
Australia and Oceania,Papua New Guinea,Clothes,Offline,L,09/10/2015,220740847,10/16/2015,9504,96.09,34.7,913207.77,329830.16,583377.61
Middle East and North Africa,Libya,Cereal,Offline,C,03/12/2012,825561602,04/19/2012,6086,174.87,114.9,1064283.45,699286.94,364996.5
Central America and the Caribbean,Cuba,Cereal,Offline,H,08/25/2011,393348472,09/20/2011,3254,170.26,117.06,554027.29,380913.96,173113.33
North America,Mexico,Snacks,Online,L,04/17/2016,451922943,05/23/2016,3514,142.35,103.43,500215.29,363458.51,136756.78
Australia and Oceania,New Zealand,Personal Care,Offline,C,07/10/2015,646426733,07/28/2015,6034,90.29,54.93,544833.34,331441.47,213391.87
Asia,South Korea,Cosmetics,Online,M,01/30/2015,588106036,03/01/2015,2908,378.41,274.97,1100420.44,799621.58,300798.85
North America,Canada,Beverages,Online,M,08/21/2012,749675147,09/09/2012,939,44.73,31.54,42001.17,29614.05,12387.11
Europe,Estonia,Snacks,Online,M,03/25/2011,694209011,04/09/2011,8406,169.99,97.61,1428975.74,820515.1,608460.64
Europe,Estonia,Meat,Online,C,09/26/2015,640878236,10/04/2015,9355,460.23,326.77,4305468.52,3056917.14,1248551.38
Europe,Italy,Cosmetics,Online,H,06/23/2013,851120778,07/28/2013,9919,448.63,233.67,4449937.72,2317770.78,2132166.94
North America,United States,Office Supplies,Online,H,10/22/2011,684357074,11/16/2011,4656,687.59,465.48,3201429.42,2167268.38,1034161.04
Middle East and North Africa,Egypt,Beverages,Offline,L,07/07/2014,959269063,08/04/2014,8713,42.8,30.4,372943.36,264867.44,108075.92
Central America and the Caribbean,Cuba,Cereal,Offline,C,08/31/2011,471255850,09/17/2011,7263,185.04,110.59,1343925.46,803245.44,540680.02
